year,branch construction,branch dismantling,cut construction,cut dismantling,line dismantling,new line construction,re-routing construction,re-routing dismantling,existing,period
1936,0,0,0,0,0,1,0,0,0,1936-1940
1937,0,0,0,0,0,0,0,0,1,1936-1940
1938,0,0,0,0,0,2,0,0,1,1936-1940
1939,0,0,0,0,0,0,0,0,3,1936-1940
1940,0,0,2,1,0,3,0,0,4,1936-1940
1941,0,0,0,0,0,4,0,0,7,1941-1945
1942,0,0,0,0,0,0,0,0,11,1941-1945
1943,0,0,0,0,2,3,0,0,14,1941-1945
1944,0,0,0,0,0,0,0,0,13,1941-1945
1945,0,0,0,0,0,0,0,0,13,1941-1945
1946,0,0,0,0,0,0,0,0,13,1946-1950
1947,0,0,0,0,0,0,0,0,13,1946-1950
1948,0,0,0,0,0,0,0,0,13,1946-1950
1949,1,0,0,0,2,5,0,0,17,1946-1950
1950,0,0,0,0,0,0,0,0,18,1946-1950
1951,0,1,0,0,4,6,0,0,20,1951-1955
1952,0,0,0,0,0,4,0,0,19,1951-1955
1953,0,0,0,0,0,3,0,0,23,1951-1955
1954,0,0,0,0,0,1,0,0,26,1951-1955
1955,0,0,0,0,2,4,2,2,30,1951-1955
1956,0,0,4,2,3,7,0,0,31,1956-1960
1957,0,0,0,0,0,0,0,0,32,1956-1960
1958,0,0,6,3,1,5,0,0,37,1956-1960
1959,0,0,0,0,1,10,1,1,37,1956-1960
1960,0,0,0,0,0,1,0,0,43,1956-1960
1961,0,0,0,0,0,0,0,0,47,1961-1965
1962,2,0,0,0,0,4,0,0,45,1961-1965
1963,2,0,0,0,3,4,3,3,63,1961-1965
1964,0,0,4,2,2,3,1,1,76,1961-1965
1965,2,0,14,4,1,14,3,3,87,1961-1965
1966,0,0,4,2,0,4,2,2,116,1966-1970
1967,0,0,9,4,0,1,0,0,128,1966-1970
1968,0,0,4,2,0,0,1,1,133,1966-1970
1969,0,0,0,0,0,4,5,5,136,1966-1970
1970,1,0,0,0,4,11,3,3,136,1966-1970
1971,0,0,4,2,2,6,4,4,143,1971-1975
1972,0,0,6,3,3,5,11,11,155,1971-1975
1973,0,0,4,2,0,1,3,4,156,1971-1975
1974,0,2,6,3,7,19,8,11,168,1971-1975
1975,0,0,4,2,6,8,5,5,185,1971-1975
1976,0,0,7,4,5,8,13,14,182,1976-1980
1977,0,0,2,1,6,9,3,2,186,1976-1980
1978,0,0,4,2,0,4,0,0,185,1976-1980
1979,0,0,10,5,3,6,2,2,197,1976-1980
1980,0,0,2,1,1,4,9,10,208,1976-1980
1981,0,0,2,1,0,4,1,1,205,1981-1985
1982,0,0,2,1,5,10,14,15,225,1981-1985
1983,0,0,4,2,9,11,10,12,234,1981-1985
1984,0,4,5,4,0,6,0,4,214,1981-1985
1985,1,0,10,5,7,6,13,16,238,1981-1985
1986,0,0,0,0,0,1,0,0,228,1986-1990
1987,0,0,10,5,5,10,8,8,245,1986-1990
1988,1,0,4,2,1,0,6,6,247,1986-1990
1989,0,0,4,2,6,9,7,7,248,1986-1990
1990,0,0,2,1,0,1,3,3,251,1986-1990
1991,0,0,0,0,0,1,0,0,249,1991-1995
1992,0,0,0,0,0,0,0,0,250,1991-1995
1993,0,0,6,3,0,2,4,4,261,1991-1995
1994,0,0,0,0,0,0,0,0,261,1991-1995
1995,1,2,4,3,1,1,1,1,265,1991-1995
1996,0,0,2,1,0,0,9,7,271,1996-2000
1997,0,0,0,0,0,0,7,7,274,1996-2000
1998,0,0,6,3,3,1,2,5,269,1996-2000
1999,0,0,0,0,0,0,7,7,276,1996-2000
2000,0,0,0,0,0,1,0,0,270,1996-2000
2001,0,0,4,2,0,0,0,0,273,2001-2005
2002,0,0,0,0,0,0,2,1,274,2001-2005
2003,0,0,4,2,0,0,2,2,279,2001-2005
2004,0,0,2,1,0,0,0,0,276,2001-2005
2005,0,0,2,1,0,0,3,19,282,2001-2005
2006,0,1,12,7,3,6,14,13,293,2006-2010
2007,0,0,20,8,1,7,0,0,288,2006-2010
2008,0,0,16,11,10,18,21,18,336,2006-2010
2009,1,1,8,4,1,9,15,15,339,2006-2010
2010,0,0,8,4,1,4,15,13,347,2006-2010
2011,0,0,11,5,3,10,13,13,358,2011-2015
2012,0,0,4,2,0,9,18,19,374,2011-2015
2013,0,0,4,2,1,5,16,32,377,2011-2015
2014,0,0,10,5,0,12,20,40,379,2011-2015
2015,0,0,2,1,0,9,14,14,404,2011-2015
2016,0,0,6,3,2,3,19,18,424,2016-2020
2017,0,0,0,0,0,0,5,5,408,2016-2020
2018,2,0,2,1,2,6,11,7,401,2016-2020
2019,0,1,4,2,0,4,3,3,409,2016-2020
2020,0,0,2,1,0,0,6,10,424,2016-2020
