period,new line construction,branch construction,cut construction,re-routing construction,existing,line dismantling,branch dismantling,cut dismantling,re-routing dismantling,total
2016-2020,11395.80966606262,1159.509470854,5892.85536712248,16152.5882582088,10237373.309143761,61.49011684295999,7.8450496460400005,96.33228520676201,12624.481956958612,10259183.922497356
2011-2015,135118.4779514194,0.0,28588.340563598642,29444.448658682602,9732565.90385099,7123.1800776024,0.0,431.31709404529994,33417.01628640313,9884745.657566639
2006-2010,51659.964186651065,390.748722304,24140.077516619138,27798.855955284766,9069963.603199277,13776.34602721348,314.8842479642,17793.357408097516,27705.442771375303,9114363.219125483
2001-2005,0.0,0.0,2234.6986518052004,3501.8053207584003,9027114.944211945,0.0,0.0,318.84665578540597,3918.4438405036003,9028614.157688221
1996-2000,536.1496486548001,0.0,4326.891692499999,6945.6218131713995,8978073.153525975,598.9698203048,0.0,657.1242424915001,6943.3940828447985,8981682.328534659
1991-1995,5518.644900531401,276.175286898,3069.8041560051997,1005.0646340108,8944995.009735983,460.844760666,15.53248217144,1218.6722793003999,994.0541226118,8952175.595068678
1986-1990,113764.7850608228,7.76624108572,54099.96856965779,12074.805379279602,8654145.701582927,2702.1775358102395,0.0,326.292448874006,12044.1490142488,8819020.407834841
1981-1985,153147.23978992656,32838.5280876,24584.092711794397,13100.462612596999,7419060.291492717,1255.4448940578231,178.85157809376,4858.110474980421,11179.3811644678,7625258.826583035
1976-1980,181293.54280030602,0.0,20952.844246557775,20996.5120364572,6643011.7481571175,3422.6931991016,0.0,3879.0136451094004,19680.512877191562,6839272.4275190355
1971-1975,237664.6231186116,0.0,20902.662845494,11383.183312402602,5436599.967597376,1410.710706162,181.72466396,777.552163448688,8828.4281941838,5695352.021146129
1966-1970,148164.50353076527,86.4703299762,13834.312740178202,6706.4231071006,4323029.607748895,91.14266360606,0.0,799.9601056567801,6834.728361453001,4484095.486326199
1961-1965,88214.69130579023,28244.756860293604,30391.4188846538,966.936980369,3505046.0253748456,237.95033087922002,0.0,6212.195232459433,1190.5744245655999,3645223.109418048
1956-1960,274562.45563844254,0.0,6103.180799454401,325.168494134,2522306.1094961697,169.9036981826,0.0,364.3495733858,50.1430312638,2802712.518125369
1951-1955,168110.1417125426,0.0,0.0,172.30577026,1498684.7430659959,468.3769411378,1454.703397644,0.0,167.9763435584,1664876.1338664584
1946-1950,34137.96281271,2387.5430852,0.0,0.0,928409.1413762914,89.324788576,0.0,0.0,0.0,964845.3224856254
1941-1945,74212.20717891041,0.0,0.0,0.0,796919.23365131,62.4507179018,0.0,0.0,0.0,871068.9901123187
1936-1940,104196.0224455412,0.0,1128.8128886660002,0.0,282520.45473636,0.0,0.0,1062.24416599,0.0,386783.04590457724
